Top queries,Clicks,Impressions,CTR,Position
the breach that hit twothirds,0,4,0%,3
data that hit twothirds country,0,4,0%,3.25
the breach that twothirds country,0,4,0%,3.75
the breach twothirds country,0,3,0%,2.67
the data breach hit twothirds,0,3,0%,3
the data hit twothirds country,0,3,0%,3
the data hit twothirds,0,3,0%,3.33
data breach hit twothirds,0,3,0%,3.67
the breach hit twothirds country,0,3,0%,3.67
breach that hit twothirds country,0,3,0%,4
the data breach twothirds country,0,3,0%,5.33
data breach that twothirds,0,2,0%,3
data hit twothirds country,0,2,0%,3
breach that hit twothirds,0,2,0%,3.5
the hit twothirds country,0,2,0%,3.5
the data that hit twothirds,0,2,0%,4
the data breach hit twothirds country,0,2,0%,4.5
the data breach twothirds,0,1,0%,2
breach twothirds country,0,1,0%,3
data breach that hit twothirds,0,1,0%,3
data breach twothirds country,0,1,0%,3
the data that hit twothirds country,0,1,0%,3
breach hit twothirds,0,1,0%,4
breach that twothirds country,0,1,0%,4
that hit twothirds country,0,1,0%,4
the data breach that twothirds,0,1,0%,4
the data twothirds country,0,1,0%,4
data breach hit twothirds country,0,1,0%,5
the data breach that hit twothirds,0,1,0%,5
the that hit twothirds country,0,1,0%,5
the breach that hit twothirds country,0,1,0%,6
data breach that hit twothirds country,0,1,0%,11
